Reference, Value, Footprint, Datasheet, AVAILABILITY, DESCRIPTION, MANUFACTURER, MP, PACKAGE, PRICE, STANDARD, PARTREV, PROD_ID
"R2","330","Resistor_SMD:R_0805_2012Metric","~"
"R1","330","Resistor_SMD:R_0805_2012Metric","~"
"C3","68nF","Capacitor_SMD:C_0805_2012Metric","~"
"C2","150nF","Capacitor_SMD:C_0805_2012Metric","~"
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","~"
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","~"
"U1","TC1047A","Package_TO_SOT_SMD:SOT-23","http://ww1.microchip.com/downloads/en/DeviceDoc/21498D.pdf"
"U3","LD1117","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
"C1","10uF","Capacitor_SMD:CP_Elec_3x5.3","~"
"J2","UFL","RFUFL2:HRS_U.FL-R-SMT-1(10)","https://www.farnell.com/datasheets/2691132.pdf","Good","U.FL Series 6 Ghz 50 Ohm Ultra-small SMT Coaxial Cable Receptacle","Hirose","U.FL-R-SMT-1_10_","None","0.71 USD","Manufacturer Recommendation","",""
"R6","10K","Resistor_SMD:R_0805_2012Metric","~"
"J3","SMA","RFSMA:AMPHENOL_132203RP","https://ar.mouser.com/datasheet/2/18/1/amph_s_a0001368065_1-2260743.pdf","","","AMPHENOL CONEXX","","","","Manufacturer recommendations","C",""
"U4","RFM95W","RF_Module:HOPERF_RFM9XW_SMD","https://www.hoperf.com/data/upload/portal/20181127/5bfcbea20e9ef.pdf"
"J4","UART","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J5","Reset","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"D3","Led Tx","LED_SMD:LED_0805_2012Metric_Castellated","~"
"D2","Led Rx","LED_SMD:LED_0805_2012Metric_Castellated","~"
"J6","PRG","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C6","100nF","Capacitor_SMD:C_0805_2012Metric","~"
"C7","100nF","Capacitor_SMD:C_0805_2012Metric","~"
"R5","10K","Resistor_SMD:R_0805_2012Metric","~"
"R4","10K","Resistor_SMD:R_0805_2012Metric","~"
"R3","1K","Resistor_SMD:R_0805_2012Metric","~"
"J1","USB_B_Micro","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","~"
"D1","1N4007","Diode_SMD:D_1206_3216Metric","http://www.vishay.com/docs/88503/1n4001.pdf"
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"U2","MCP6021","mcp6021:SOT23-5","http://ww1.microchip.com/downloads/en/devicedoc/20001685e.pdf","","","","","","","","","IC-12504"
"U5","ESP-12S","esp12s:ESP-12S","https://docs.ai-thinker.com/_media/esp8266/docs/esp-12s_product_specification_en.pdf","","","","","","","","","IC-14115"
